y,const,L,K,pop,edu,group,cl,Long,Lat
10.22835662,1,-7.643217011,-5.059012888,15.19071869,13.4,175,1,11.04463042,44.52647261
10.07845603,1,-7.738125473,-5.3550342,15.06630015,9.4,176,1,11.12685542,43.44292104
10.00842682,1,-7.794398683,-5.258921312,13.62010376,10.6,177,1,12.49137853,42.97319226
9.965416651,1,-7.791748748,-5.479154265,14.19449479,14.3,178,1,13.14218118,43.34987015
10.23428106,1,-7.74609473,-5.300972211,15.4480183,12.7,179,1,12.76128756,41.98358332
9.179963079,1,-7.730773948,-6.092690039,13.65681959,45.8,180,1,25.2308439,54.81404872
8.724192951,1,-7.856325489,-6.860748755,14.78864654,31,181,1,23.68347533,55.42673411
10.73012214,1,-7.411883015,-4.664051255,12.98764271,18.3,182,2,6.099221637,49.77474235
8.805873659,1,-7.849019272,-6.39599582,14.67739579,18.2,183,1,24.93509823,56.86216617
9.630890969,1,-7.887456847,-5.665702568,12.87379945,5.4,184,1,14.37333281,35.93532957
10.24864572,1,-7.642831261,-5.268583307,13.24458101,26,185,1,6.748360453,53.21760709
9.81176916,1,-7.715699527,-5.265484328,13.34870182,19.8,186,1,5.795797551,53.07532105
9.86296786,1,-7.711928713,-5.174814375,13.06473426,16.3,187,1,6.618252506,52.85712694
9.964594824,1,-7.616363324,-5.28106774,13.89432174,20.3,188,1,6.429011002,52.45273903
10.0068367,1,-7.647887401,-5.196179796,14.47095587,23.6,189,1,5.941019557,52.06355313
9.903275456,1,-7.76615687,-5.12315242,12.6854076,18.6,190,1,5.506946181,52.54589644
10.45685333,1,-7.408449708,-4.947420088,13.92256963,32.9,191,1,5.163580382,52.0944137
10.4185246,1,-7.42387332,-4.955214632,14.74214758,28.4,192,1,4.921144479,52.6103666
10.22407485,1,-7.575930854,-5.098036411,15.04192955,25.2,193,1,4.491210859,51.93826548
9.870371492,1,-7.739271271,-5.142831692,12.8293337,17,194,1,3.907977704,51.46508757
10.16369477,1,-7.570843163,-5.136637081,14.67671132,21.9,195,1,5.192709218,51.55784466
9.996020436,1,-7.660061431,-5.2602542,13.94829167,18.3,196,1,5.935957968,51.20456913
8.979261061,1,-7.803243043,-6.343003849,14.98545077,13.4,197,1,20.27642303,49.85688221
